dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,0,18,ENROLLMENT_PCA_TRANSFER,0.85999999999999999,0.85999999999999999,0.85999999999999999,0.56353607359937119,0.37345504569775928,0.27765146827859033,0.85999999999999999,0.85999999999999999
openbmi,chronological,0,18,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.87,0.86998699869987006,0.87,0.57162854780628392,0.38107475225177412,0.29247457673292365,0.88,0.85999999999999999
openbmi,chronological,0,31,LRCM,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.65243967737471376,0.46006387201223381,0.11707114195907875,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,31,IDENTITY_RESIDUAL_CARRY,0.65999999999999992,0.65945512820512819,0.66000000000000003,0.66076097172676862,0.46797403344665084,0.10586452225438377,0.69999999999999996,0.62
openbmi,chronological,0,31,PAST_PROTOTYPE_DIRECT,0.58999999999999997,0.58995899589958989,0.58999999999999997,0.67352134646964279,0.48052022432229996,0.036295244722077298,0.57999999999999996,0.59999999999999998
openbmi,chronological,0,31,POPULATION_ONLY,0.66999999999999993,0.66917293233082709,0.67000000000000004,0.65170389155015029,0.45934471225516404,0.11672378129666994,0.62,0.71999999999999997
openbmi,chronological,0,31,FULL_RIDGE_TRANSFER,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.65244606367639468,0.46007064337099995,0.11705139161015571,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,31,ENROLLMENT_PCA_TRANSFER,0.66999999999999993,0.6697027324592133,0.67000000000000004,0.65241806315740913,0.46004287498436081,0.11705489281763842,0.64000000000000001,0.69999999999999996
openbmi,chronological,0,31,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.66999999999999993,0.66917293233082709,0.67000000000000004,0.65170389155015029,0.45934471225516404,0.11672378129666994,0.62,0.71999999999999997
openbmi,chronological,0,37,LRCM,0.91999999999999993,0.91987179487179493,0.92000000000000004,0.46719873853218563,0.28512395724591261,0.26769355305000897,0.95999999999999996,0.88
openbmi,chronological,0,37,IDENTITY_RESIDUAL_CARRY,0.94999999999999996,0.94999499949994992,0.94999999999999996,0.25948309433955968,0.13376747116910745,0.142223282772443,0.95999999999999996,0.93999999999999995
openbmi,chronological,0,37,PAST_PROTOTYPE_DIRECT,0.94999999999999996,0.94999499949994992,0.94999999999999996,0.26324321665401423,0.13598768381657253,0.14946774923370365,0.93999999999999995,0.95999999999999996
openbmi,chronological,0,37,POPULATION_ONLY,0.89999999999999991,0.89963869931754314,0.90000000000000002,0.47911886072759591,0.29546131739200232,0.26036790001608945,0.95999999999999996,0.83999999999999997
openbmi,chronological,0,37,FULL_RIDGE_TRANSFER,0.91999999999999993,0.91987179487179493,0.92000000000000004,0.46709810301432542,0.28504037149335343,0.26764854999133869,0.95999999999999996,0.88
openbmi,chronological,0,37,ENROLLMENT_PCA_TRANSFER,0.91999999999999993,0.91987179487179493,0.92000000000000004,0.46726356002200931,0.28518312083612091,0.26775907790152581,0.95999999999999996,0.88
openbmi,chronological,0,37,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.89999999999999991,0.89963869931754314,0.90000000000000002,0.47911886072759591,0.29546131739200232,0.26036790001608945,0.95999999999999996,0.83999999999999997
openbmi,chronological,0,43,LRCM,0.79000000000000004,0.78981082974677208,0.79000000000000004,0.60041073623274277,0.40959123288597687,0.22180861459163806,0.81999999999999995,0.76000000000000001
openbmi,chronological,0,43,IDENTITY_RESIDUAL_CARRY,0.75,0.74937343358395991,0.75,0.56820104714434161,0.38209474525140769,0.14672891389895876,0.80000000000000004,0.69999999999999996
openbmi,chronological,0,43,PAST_PROTOTYPE_DIRECT,0.77000000000000002,0.76942355889724312,0.77000000000000002,0.57485494785730262,0.38725519339041703,0.17515533882803519,0.81999999999999995,0.71999999999999997
