dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
openbmi,30,8,200,0.48886904761904759,0.47900509905748656,0.042044445060862065
openbmi,30,16,200,0.48948529411764707,0.48164573878830624,0.052856073007334491
openbmi,30,FULL_ORACLE,1,0.73999999999999999,0.73999999999999999,0
openbmi,31,1,200,0.51816326530612244,0.48360630578360175,0.051486538509444263
openbmi,31,2,200,0.54249999999999998,0.5190966494674335,0.049384207012862155
openbmi,31,4,200,0.55179347826086955,0.53820836523521243,0.058142359183921195
openbmi,31,8,200,0.56755952380952379,0.55918179247633715,0.047871690117038318
openbmi,31,16,200,0.59147058823529408,0.58606992671995972,0.05060363142105035
openbmi,31,FULL_ORACLE,1,0.75,0.74997499749975005,0
openbmi,32,1,200,0.76372448979591834,0.74822269961476395,0.12355115987350561
openbmi,32,2,200,0.82729166666666654,0.81889399259902773,0.11110360806604408
openbmi,32,4,200,0.88472826086956535,0.88365934317683814,0.071777830511983318
openbmi,32,8,200,0.9302380952380952,0.93002667512604631,0.044783359503191289
openbmi,32,16,200,0.94786764705882343,0.94774240295734902,0.038608016993829902
openbmi,32,FULL_ORACLE,1,0.97999999999999998,0.9799919967987194,0
openbmi,33,1,200,0.60112244897959188,0.56659921966298921,0.072307252020271773
openbmi,33,2,200,0.64151041666666675,0.62253480602987943,0.090547487139292657
openbmi,33,4,200,0.68581521739130435,0.6761315018120081,0.081446855855646788
openbmi,33,8,200,0.7488690476190476,0.74522903328298296,0.089187730394168871
openbmi,33,16,200,0.79911764705882349,0.79801135104639509,0.092662130628477682
openbmi,33,FULL_ORACLE,1,0.84000000000000008,0.83974358974358976,0
openbmi,34,1,200,0.49739795918367347,0.47182453668703461,0.030960611379786503
openbmi,34,2,200,0.49291666666666673,0.47396811519394288,0.032870132809777942
openbmi,34,4,200,0.49043478260869572,0.47886480181745322,0.032989906321828584
openbmi,34,8,200,0.48315476190476198,0.47645248003633278,0.034409803014048591
openbmi,34,16,200,0.47529411764705887,0.47056140236317318,0.039082565463353369
openbmi,34,FULL_ORACLE,1,0.67999999999999994,0.67948717948717952,0
openbmi,35,1,200,0.53311224489795916,0.49533551570480255,0.069430102088755385
openbmi,35,2,200,0.55166666666666664,0.53318059575133381,0.077388452891776371
openbmi,35,4,200,0.56239130434782614,0.55019631013131109,0.082220550130090081
openbmi,35,8,200,0.61119047619047617,0.60502630041403482,0.060602102063814896
openbmi,35,16,200,0.6335294117647059,0.63056517094162556,0.05258774527761037
openbmi,35,FULL_ORACLE,1,0.72999999999999998,0.72997299729972998,0
openbmi,36,1,200,0.95158163265306117,0.95106497052089334,0.047642211159622673
openbmi,36,2,200,0.97062499999999996,0.97051204606328212,0.029844510272602928
openbmi,36,4,200,0.98836956521739128,0.98836069875290022,0.01431224526036542
openbmi,36,8,200,0.9944047619047619,0.99439904554997716,0.010997363849829156
openbmi,36,16,200,0.99757352941176469,0.99757300454250497,0.0054722352178324246
openbmi,36,FULL_ORACLE,1,1,1,0
openbmi,37,1,200,0.69515306122448972,0.68441635547631341,0.11928420338726219
openbmi,37,2,200,0.76218750000000002,0.7560170650452992,0.10685961066922599
openbmi,37,4,200,0.80869565217391293,0.80575842105803896,0.090088611162229285
openbmi,37,8,200,0.88422619047619033,0.8837565202448705,0.073617817369293903
openbmi,37,16,200,0.92514705882352943,0.92492118870718021,0.048386666513310049
openbmi,37,FULL_ORACLE,1,0.98999999999999999,0.98999899989999007,0
openbmi,38,1,200,0.51025510204081637,0.47496997340649072,0.041192725293182138
openbmi,38,2,200,0.50963541666666667,0.48725123995211717,0.039914716137217227
openbmi,38,4,200,0.51320652173913039,0.50117958013713049,0.044940422427400338
openbmi,38,8,200,0.52053571428571432,0.5149281738961915,0.04791629973894132
openbmi,38,16,200,0.53419117647058822,0.52972526481422366,0.058377288691946513
openbmi,38,FULL_ORACLE,1,0.87,0.86998699869987006,0
openbmi,39,1,200,0.53010204081632661,0.50429085223432324,0.05244897759663078
openbmi,39,2,200,0.53427083333333325,0.51159314928717825,0.05578443178990744
openbmi,39,4,200,0.54255434782608691,0.52623402893410465,0.066691674305591434
openbmi,39,8,200,0.56535714285714289,0.55521131560383097,0.079138335667642404
openbmi,39,16,200,0.58558823529411763,0.57861933546097832,0.095062505233326794
openbmi,39,FULL_ORACLE,1,0.84000000000000008,0.83942191890806905,0
openbmi,40,1,200,0.50857142857142856,0.4761390716883907,0.047537129630963772
openbmi,40,2,200,0.52171875000000001,0.50157569376024957,0.047348397051464208
openbmi,40,4,200,0.52489130434782605,0.51304526726138577,0.04771759100004349
openbmi,40,8,200,0.54059523809523802,0.5335685149869408,0.046639695826289053
openbmi,40,16,200,0.55720588235294111,0.55109131928328581,0.057341476225844359
openbmi,40,FULL_ORACLE,1,0.77000000000000002,0.76997699769976991,0
openbmi,41,1,200,0.50530612244897954,0.46198860245625811,0.040169732331426802
openbmi,41,2,200,0.50822916666666662,0.4778853550013879,0.046638443210725258
openbmi,41,4,200,0.51342391304347823,0.49836504934916598,0.044994554728970626
openbmi,41,8,200,0.52470238095238098,0.51327882851347384,0.046329412583268711
openbmi,41,16,200,0.53338235294117642,0.52335497823189814,0.049310375194692925
openbmi,41,FULL_ORACLE,1,0.73999999999999999,0.73737373737373746,0
openbmi,42,1,200,0.50540816326530613,0.47003634304931369,0.046146098307399831
openbmi,42,2,200,0.51015624999999998,0.4921339485927882,0.040531510184106133
openbmi,42,4,200,0.51429347826086957,0.5027286369932582,0.049751898205219879
openbmi,42,8,200,0.52386904761904762,0.51619785387933259,0.053299842010165001
