subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
6,F2-S,2,0.2673611111111111,0.2673611111111111,"3,2,0,1"
6,F2-S,3,0.2725694444444444,0.2725694444444444,"2,0,3,1"
6,F2-S,4,0.265625,0.265625,"2,1,3,0"
6,F2-S,5,0.2725694444444444,0.2725694444444444,"0,2,1,3"
6,F2-S,6,0.2777777777777778,0.2777777777777778,"2,1,3,0"
6,F2-S,7,0.2673611111111111,0.2673611111111111,"0,1,2,3"
6,F2-S,8,0.2760416666666667,0.27604166666666663,"1,2,0,3"
6,F2-S,9,0.2743055555555556,0.2743055555555556,"2,1,3,0"
6,F2-S,10,0.2795138888888889,0.2795138888888889,"3,0,2,1"
6,F2-S,11,0.2708333333333333,0.2708333333333333,"0,2,1,3"
6,F2-S,12,0.2760416666666667,0.2760416666666667,"2,0,1,3"
6,F2-S,13,0.2725694444444444,0.2725694444444444,"0,2,1,3"
6,F2-S,14,0.2690972222222222,0.2690972222222222,"1,0,2,3"
6,F2-S,15,0.2621527777777778,0.2621527777777778,"2,0,1,3"
6,F2-S,16,0.2708333333333333,0.2708333333333333,"3,1,2,0"
6,F2-S,17,0.2673611111111111,0.2673611111111111,"0,2,1,3"
6,F2-S,18,0.2638888888888889,0.2638888888888889,"2,1,0,3"
6,F2-S,19,0.2725694444444444,0.2725694444444444,"1,2,0,3"
7,STATIC,0,0.34375,0.34375,"2,0,1,3"
7,STATIC,1,0.3350694444444444,0.3350694444444444,"1,3,2,0"
7,STATIC,2,0.34375,0.34375,"1,0,3,2"
7,STATIC,3,0.3350694444444444,0.3350694444444444,"0,2,1,3"
7,STATIC,4,0.3333333333333333,0.33333333333333337,"3,0,1,2"
7,STATIC,5,0.3350694444444444,0.3350694444444444,"2,0,3,1"
7,STATIC,6,0.3506944444444444,0.3506944444444444,"2,0,3,1"
7,STATIC,7,0.3315972222222222,0.3315972222222222,"3,1,2,0"
7,STATIC,8,0.3368055555555556,0.3368055555555556,"0,1,2,3"
7,STATIC,9,0.3506944444444444,0.3506944444444444,"2,1,3,0"
7,STATIC,10,0.3368055555555556,0.3368055555555556,"0,3,1,2"
7,STATIC,11,0.34375,0.34375,"0,2,1,3"
7,STATIC,12,0.3385416666666667,0.3385416666666667,"0,2,3,1"
7,STATIC,13,0.3506944444444444,0.3506944444444444,"1,0,3,2"
7,STATIC,14,0.3420138888888889,0.34201388888888884,"1,2,0,3"
7,STATIC,15,0.3454861111111111,0.3454861111111111,"3,2,1,0"
7,STATIC,16,0.3506944444444444,0.3506944444444444,"2,3,1,0"
7,STATIC,17,0.34375,0.34375,"3,0,1,2"
7,STATIC,18,0.3506944444444444,0.3506944444444444,"3,2,1,0"
7,STATIC,19,0.3350694444444444,0.3350694444444444,"0,1,3,2"
7,F1,0,0.4791666666666667,0.47916666666666674,"2,1,0,3"
7,F1,1,0.4513888888888889,0.4513888888888889,"3,0,1,2"
7,F1,2,0.4635416666666667,0.4635416666666667,"1,3,0,2"
7,F1,3,0.4826388888888889,0.48263888888888895,"0,3,1,2"
7,F1,4,0.4548611111111111,0.4548611111111111,"0,2,3,1"
