half,component,subject,J_s,T_J
A,ori,54,-0.04484502962136527,0.001204953051219268
B,sensor,1,-0.47182971708770705,-0.03534088948970259
B,sensor,2,-0.3071053949534852,-0.03534088948970259
B,sensor,3,-0.05575665763168236,-0.03534088948970259
B,sensor,4,-0.2109365988853351,-0.03534088948970259
B,sensor,5,0.07967284361033133,-0.03534088948970259
B,sensor,6,-0.17985280017460936,-0.03534088948970259
B,sensor,7,0.22719739550383555,-0.03534088948970259
B,sensor,8,-0.4523132514212218,-0.03534088948970259
B,sensor,9,0.35119474698139475,-0.03534088948970259
B,sensor,10,0.41423228652169364,-0.03534088948970259
B,sensor,11,0.17022438903075043,-0.03534088948970259
B,sensor,12,-0.31526115982359704,-0.03534088948970259
B,sensor,13,-0.5410538180501812,-0.03534088948970259
B,sensor,14,-0.24049847790254764,-0.03534088948970259
B,sensor,15,-0.03613181601795756,-0.03534088948970259
B,sensor,16,-1.5174894517611108,-0.03534088948970259
